nothing(14), -1,36,15,-17,22,3,-51,32,8,-105,53,16,-101,48,36,-60,63,49,-21,33,37,-21,24,33,-58,60,58,-69,74,50,-32,84,0,-10,38,8,2,22,19,4,22,29
nothing(15), 2,22,19,4,22,29,-15,43,91,-8,33,78,9,15,36,-12,17,42,-71,70,88,-50,37,45,-23,34,17,-41,45,12,-59,75,6,-67,81,5,-24,53,18,12,13,13,1,5,22
nothing(19), 12,13,13,1,5,22,-50,82,87,-2,34,35,5,11,16,-65,111,69,-25,63,13,8,2,16,-14,41,31,-104,115,52,-52,71,5,-18,48,7,-11,53,8,-5,59,18,11,41,12,3,1,12,-3,23,67,-31,41,76,-30,46,78
nothing(11), -74,24,6,-71,33,6,-75,44,19,-44,62,19,-35,50,22,-53,58,29,-80,63,23,-45,66,-4,-21,29,6,-21,27,23,-17,38,43
nothing(11), -21,27,23,-17,38,43,-13,54,58,-8,42,28,-43,36,45,-42,62,53,-32,41,41,-58,31,39,-56,43,22,-70,60,-2,-45,63,-4
nothing(13), -55,53,40,-53,48,24,-64,51,15,-71,39,5,-62,25,-11,-71,26,-41,-37,17,-28,0,18,-5,-5,77,29,4,62,45,12,8,34,-10,53,83,-4,49,60
nothing(12), -57,54,42,-41,56,36,-49,72,53,-47,54,36,-37,67,8,-33,50,-17,9,17,0,19,27,9,17,26,6,7,48,33,-41,106,5,-26,101,0
nothing(11), -6,48,16,-7,62,27,-41,90,10,-21,91,7,-2,59,10,7,41,21,3,36,15,0,35,23,-22,64,16,-38,79,-7,-30,89,-17
nothing(13), -38,79,-7,-30,89,-17,-13,22,-13,-12,48,28,-57,51,85,-28,34,49,-9,26,38,-13,55,66,-20,85,71,11,36,34,23,47,12,25,49,8,20,59,10
nothing(18), 25,49,8,20,59,10,36,49,7,55,33,25,45,16,26,23,-1,16,-2,14,44,-28,70,100,4,79,67,20,54,31,5,14,20,-29,17,54,-60,58,96,-5,34,48,-21,52,68,-24,93,58,-28,54,8,-10,50,-5
nothing(15), -26,63,70,-7,81,56,-5,81,46,0,70,28,-10,34,-10,-7,13,6,-20,61,77,0,26,63,-21,41,50,-59,44,49,-49,72,24,-46,77,15,-22,56,0,-14,22,10,-26,18,19
nothing(14), -33,28,21,-34,44,-3,-33,69,-22,-27,66,-7,-17,45,15,-10,32,36,-26,38,49,-49,55,92,-14,31,58,9,23,39,-19,67,71,-44,76,23,-27,36,-2,-9,30,10
nothing(14), -27,36,-2,-9,30,10,-14,31,31,-35,53,61,-25,41,47,-20,37,32,-79,104,49,-78,51,10,-28,29,-12,-22,52,1,-38,86,18,-22,49,16,-9,32,22,-2,21,31
nothing(12), -22,28,64,-25,34,58,-34,63,60,-40,70,25,-36,59,4,9,53,0,30,47,17,3,27,-1,2,2,8,-24,85,28,-27,109,24,-22,109,1
nothing(12), -27,45,76,-7,26,66,0,38,71,-4,62,64,4,69,19,5,70,-10,17,14,-19,25,-14,-19,24,-20,-12,21,45,0,32,82,34,41,68,31
nothing(13), 62,-1,30,57,13,40,45,45,74,48,30,55,24,8,32,2,39,13,-22,51,-8,-28,98,-43,-6,102,-32,3,96,-13,17,42,2,15,23,8,6,4,8
nothing(15), 15,23,8,6,4,8,-15,29,33,-61,90,46,-68,76,29,-35,86,34,-32,84,27,-39,44,8,-25,31,-9,-10,14,34,-51,54,23,-80,86,32,-40,41,30,-38,34,44,-40,47,49
nothing(13), -38,34,44,-40,47,49,-64,50,53,-77,52,59,-60,37,49,-55,32,44,-45,79,8,0,78,-17,29,21,-35,18,38,-4,6,51,40,22,47,41,27,49,39
nothing(13), 27,49,39,26,47,37,25,41,42,40,48,92,21,43,49,12,28,15,-11,39,-7,-12,91,-5,-9,71,-12,-4,63,-5,-3,58,0,-9,80,-13,-13,105,-32
nothing(12), -9,80,-13,-13,105,-32,10,81,-28,17,32,8,11,26,24,23,44,26,41,79,23,37,100,-3,32,40,-7,36,14,-2,44,3,0,56,12,-2
nothing(13), 51,47,-38,49,49,-32,40,37,-34,32,27,-54,23,31,-48,24,35,-20,16,73,-3,18,80,-27,4,36,-74,2,28,-32,8,69,13,11,79,-20,20,73,-25
nothing(13), -52,57,3,-58,72,5,-44,65,6,-18,31,-4,-12,14,-10,-45,97,37,-17,69,22,-1,35,6,-14,33,35,-33,47,56,-43,40,58,-32,44,59,-18,50,52
nothing(13), -7,54,28,-17,44,54,-22,37,72,-5,19,50,-2,50,80,-19,50,42,-18,61,17,-19,55,-21,-5,64,8,-4,59,-1,-8,57,-7,-11,57,-17,-10,53,-23
