subset,label,person,id,acceleration,time,dimension
train,swiperight,james,7,-28.0,0.3,y
train,swiperight,james,7,-18.0,0.3,z
train,swiperight,james,7,5.0,0.4,x
train,swiperight,james,7,-27.0,0.4,y
train,swiperight,james,7,-19.0,0.4,z
train,swiperight,james,7,4.0,0.5,x
train,swiperight,james,7,-25.0,0.5,y
train,swiperight,james,7,-21.0,0.5,z
train,swiperight,james,7,-6.0,0.6,x
train,swiperight,james,7,-28.0,0.6,y
train,swiperight,james,7,-21.0,0.6,z
train,swiperight,james,7,-10.0,0.7,x
train,swiperight,james,7,-51.0,0.7,y
train,swiperight,james,7,-3.0,0.7,z
train,swiperight,james,7,-6.0,0.8,x
train,swiperight,james,7,-37.0,0.8,y
train,swiperight,james,7,13.0,0.8,z
train,swiperight,james,7,-5.0,0.9,x
train,swiperight,james,7,-19.0,0.9,y
train,swiperight,james,7,-15.0,0.9,z
train,swiperight,james,7,36.0,1.0,x
train,swiperight,james,7,6.0,1.0,y
train,swiperight,james,7,-30.0,1.0,z
train,swiperight,james,7,-4.0,1.1,x
train,swiperight,james,7,-8.0,1.1,y
train,swiperight,james,7,-18.0,1.1,z
train,swiperight,james,7,-4.0,1.2,x
train,swiperight,james,7,-27.0,1.2,y
train,swiperight,james,7,-18.0,1.2,z
train,swiperight,james,7,0.0,1.3,x
train,swiperight,james,7,-35.0,1.3,y
train,swiperight,james,7,-19.0,1.3,z
train,swiperight,james,8,-4.0,0.0,x
train,swiperight,james,8,-39.0,0.0,y
train,swiperight,james,8,-20.0,0.0,z
train,swiperight,james,8,-4.0,0.1,x
train,swiperight,james,8,-32.0,0.1,y
train,swiperight,james,8,-18.0,0.1,z
train,swiperight,james,8,3.0,0.2,x
train,swiperight,james,8,-27.0,0.2,y
train,swiperight,james,8,-18.0,0.2,z
train,swiperight,james,8,12.0,0.3,x
train,swiperight,james,8,-24.0,0.3,y
train,swiperight,james,8,-19.0,0.3,z
train,swiperight,james,8,11.0,0.4,x
train,swiperight,james,8,-21.0,0.4,y
train,swiperight,james,8,-23.0,0.4,z
train,swiperight,james,8,7.0,0.5,x
train,swiperight,james,8,-25.0,0.5,y
train,swiperight,james,8,-26.0,0.5,z
train,swiperight,james,8,-5.0,0.6,x
train,swiperight,james,8,-57.0,0.6,y
train,swiperight,james,8,-5.0,0.6,z
train,swiperight,james,8,-3.0,0.7,x
train,swiperight,james,8,-41.0,0.7,y
train,swiperight,james,8,13.0,0.7,z
train,swiperight,james,8,-8.0,0.8,x
train,swiperight,james,8,-16.0,0.8,y
train,swiperight,james,8,14.0,0.8,z
train,swiperight,james,8,20.0,0.9,x
train,swiperight,james,8,20.0,0.9,y
train,swiperight,james,8,-27.0,0.9,z
train,swiperight,james,8,3.0,1.0,x
train,swiperight,james,8,-16.0,1.0,y
train,swiperight,james,8,-20.0,1.0,z
train,swiperight,james,8,1.0,1.1,x
train,swiperight,james,8,-28.0,1.1,y
train,swiperight,james,8,-23.0,1.1,z
train,swiperight,james,8,5.0,1.2,x
train,swiperight,james,8,-33.0,1.2,y
train,swiperight,james,8,-24.0,1.2,z
train,swiperight,james,9,-8.0,0.0,x
train,swiperight,james,9,-19.0,0.0,y
train,swiperight,james,9,-21.0,0.0,z
train,swiperight,james,9,-5.0,0.1,x
train,swiperight,james,9,-32.0,0.1,y
train,swiperight,james,9,-17.0,0.1,z
train,swiperight,james,9,-9.0,0.2,x
train,swiperight,james,9,-34.0,0.2,y
train,swiperight,james,9,-13.0,0.2,z
train,swiperight,james,9,-15.0,0.3,x
train,swiperight,james,9,-27.0,0.3,y
train,swiperight,james,9,-4.0,0.3,z
train,swiperight,james,9,-7.0,0.4,x
train,swiperight,james,9,-37.0,0.4,y
train,swiperight,james,9,4.0,0.4,z
train,swiperight,james,9,-10.0,0.5,x
train,swiperight,james,9,-36.0,0.5,y
train,swiperight,james,9,11.0,0.5,z
train,swiperight,james,9,-2.0,0.6,x
train,swiperight,james,9,-44.0,0.6,y
train,swiperight,james,9,7.0,0.6,z
train,swiperight,james,9,16.0,0.7,x
train,swiperight,james,9,37.0,0.7,y
train,swiperight,james,9,5.0,0.7,z
train,swiperight,james,9,-8.0,0.8,x
train,swiperight,james,9,0.0,0.8,y
train,swiperight,james,9,-35.0,0.8,z
train,swiperight,james,9,-14.0,0.9,x
train,swiperight,james,9,-8.0,0.9,y
train,swiperight,james,9,-26.0,0.9,z
train,swiperight,james,9,-15.0,1.0,x
train,swiperight,james,9,-8.0,1.0,y
train,swiperight,james,9,-27.0,1.0,z
train,swiperight,james,10,12.0,0.0,x
train,swiperight,james,10,-30.0,0.0,y
train,swiperight,james,10,-25.0,0.0,z
train,swiperight,james,10,11.0,0.1,x
train,swiperight,james,10,-28.0,0.1,y
train,swiperight,james,10,-24.0,0.1,z
train,swiperight,james,10,1.0,0.2,x
train,swiperight,james,10,-29.0,0.2,y
train,swiperight,james,10,-17.0,0.2,z
train,swiperight,james,10,2.0,0.3,x
train,swiperight,james,10,-33.0,0.3,y
train,swiperight,james,10,-15.0,0.3,z
train,swiperight,james,10,2.0,0.4,x
train,swiperight,james,10,-30.0,0.4,y
train,swiperight,james,10,-14.0,0.4,z
train,swiperight,james,10,-2.0,0.5,x
train,swiperight,james,10,-22.0,0.5,y
train,swiperight,james,10,-15.0,0.5,z
train,swiperight,james,10,-11.0,0.6,x
